Time,AC,B,D,M,MD,N,ND
0,1,10,0,2,0,0,0
10,0.45,11.35,0.7,2.3,0,3.7,0.85
20,0.5,9.35,1.05,2.35,0.05,5.35,2.75
30,1.15,6.65,1.55,2.45,0.15,5.5,2.65
40,2.2,4.25,2,2.8,0.15,5.65,2.2
50,3.9,2.3,2.15,2.9,0.2,4.7,1.3
60,4.9,1.2,1.95,2.95,0.25,4.1,0.75
70,4.3,1.25,1.75,3.15,0.25,3.4,0.8
80,4.2,2.1,2.1,3.3,0.3,2.9,0.7
90,3.65,2,1.95,3.3,0.4,2.7,0.8
100,3.5,1.7,1.8,3.35,0.4,2.65,0.7
110,2.8,1.8,1.75,3.35,0.45,2.35,0.7
120,2.45,1.3,1.55,3.5,0.55,2.5,0.6
130,2.25,1.15,1.35,3.55,0.6,2,0.8
140,2.05,1.2,1.25,3.6,0.65,1.7,0.4
150,2.5,1.45,1.05,3.65,0.65,1.5,0.15
160,2.4,1.55,0.9,3.7,0.7,1.4,0.2
170,1.8,1.7,0.8,3.6,0.8,1.35,0.2
180,1.35,1.7,0.7,3.55,0.9,1.05,0.15
190,1.15,0.95,0.55,3.6,0.95,1.35,0.15
200,0.85,0.65,0.55,3.55,1.05,1.15,0.2
210,1,0.5,0.5,3.7,1.05,1,0.2
220,0.6,0.65,0.55,3.65,1.1,0.95,0.1
230,0.8,0.45,0.45,3.65,1.2,1.05,0.2
240,0.8,0.25,0.4,3.75,1.2,0.8,0.1
250,0.95,0.25,0.4,3.7,1.3,0.75,0.05
260,0.85,0.25,0.35,3.75,1.3,0.6,0.05
270,0.5,0.15,0.3,3.7,1.35,0.6,0
280,0.5,0,0.15,3.7,1.35,0.6,0.05
290,0.4,0,0.15,3.6,1.45,0.5,0
300,0.5,0,0.1,3.5,1.55,0.45,0.05
310,0.3,0,0.15,3.5,1.55,0.2,0.1
320,0.35,0,0.1,3.4,1.65,0.15,0.05
330,0.35,0,0.1,3.45,1.65,0.2,0
340,0.3,0,0.1,3.3,1.8,0.15,0.05
350,0.25,0,0.1,3.25,1.85,0.05,0.1
360,0.25,0,0.15,3.25,1.85,0.05,0.05
370,0.25,0,0.05,3.2,1.9,0.05,0
380,0.3,0,0.05,3.2,1.9,0.05,0
390,0.1,0,0.05,3.2,1.9,0,0
400,0,0,0.05,3.15,1.95,0,0
410,0.05,0,0.05,3.15,1.95,0,0
420,0.05,0,0.05,3.15,1.95,0,0
430,0.05,0,0.05,3.15,2,0.05,0
440,0.05,0,0,3.1,2.05,0,0
450,0.1,0,0,3.1,2.05,0,0
460,0.15,0,0,3.1,2.05,0,0
470,0.1,0,0,3.05,2.1,0,0
480,0.05,0,0,3.05,2.1,0,0
490,0.05,0,0,3.05,2.1,0,0
500,0,0,0,3,2.15,0,0
510,0,0,0,3,2.15,0,0
520,0,0,0,2.95,2.2,0,0
530,0,0,0,2.95,2.2,0,0
540,0,0,0,2.9,2.25,0,0
550,0,0,0,2.9,2.25,0,0
560,0,0,0,2.9,2.25,0,0
570,0,0,0,2.85,2.3,0,0
580,0,0,0,2.85,2.3,0,0
590,0,0,0,2.85,2.3,0,0
600,0,0,0,2.75,2.4,0,0
610,0,0,0,2.65,2.5,0,0
620,0,0,0,2.65,2.5,0,0
630,0,0,0,2.65,2.5,0,0
640,0,0,0,2.65,2.5,0,0
650,0,0,0,2.6,2.55,0,0
660,0,0,0,2.55,2.6,0,0
670,0,0,0,2.5,2.65,0,0
680,0,0,0,2.5,2.65,0,0
690,0,0,0,2.5,2.65,0,0
700,0,0,0,2.5,2.65,0,0
710,0,0,0,2.45,2.7,0,0
720,0,0,0,2.35,2.8,0,0
730,0,0,0,2.3,2.85,0,0
740,0,0,0,2.3,2.85,0,0
750,0,0,0,2.25,2.9,0,0
760,0,0,0,2.25,2.9,0,0
770,0,0,0,2.25,2.9,0,0
780,0,0,0,2.25,2.9,0,0
790,0,0,0,2.25,2.9,0,0
800,0,0,0,2.2,2.95,0,0
810,0,0,0,2.15,3,0,0
820,0,0,0,2.15,3,0,0
830,0,0,0,2.15,3,0,0
840,0,0,0,2.15,3,0,0
850,0,0,0,2.1,3.05,0,0
860,0,0,0,2.05,3.1,0,0
870,0,0,0,2.05,3.1,0,0
880,0,0,0,2.05,3.1,0,0
890,0,0,0,2,3.15,0,0
900,0,0,0,1.95,3.2,0,0
910,0,0,0,1.9,3.25,0,0
920,0,0,0,1.9,3.25,0,0
930,0,0,0,1.9,3.25,0,0
940,0,0,0,1.9,3.25,0,0
950,0,0,0,1.9,3.25,0,0
960,0,0,0,1.9,3.25,0,0
970,0,0,0,1.85,3.3,0,0
980,0,0,0,1.85,3.3,0,0
990,0,0,0,1.85,3.3,0,0
1000,0,0,0,1.85,3.3,0,0
