Time,AC,B,D,M,N,ND
0,1,10,0,2,0,0
10,0.7,12.1,0.3,2,3,1
20,0.85,11.55,1.05,2.15,4.6,2.2
30,1.45,9.4,1.65,2.4,5.5,2.7
40,2.3,7.45,2.25,2.65,5.3,2.75
50,3.75,5.8,2.45,2.85,4.85,1.6
60,4.55,4.35,2.4,3,4.4,1.5
70,4.25,3.1,2.25,3.2,3.6,1.55
80,4.3,2.95,2.1,3.45,3.15,0.8
90,5.05,2.15,1.8,3.45,2.9,0.65
100,4.95,1.75,1.7,3.5,2.6,0.65
110,3.75,1.8,1.4,3.55,2.6,0.55
120,3.35,1,1.15,3.55,2.3,0.35
130,2.45,1.05,0.85,3.5,1.95,0.35
140,2.3,1,0.7,3.45,1.5,0.25
150,1.9,1.25,0.65,3.45,1.5,0.15
160,1.9,1.05,0.55,3.45,1.35,0.3
170,1.75,1.6,0.55,3.45,1.05,0.2
180,1.6,1.55,0.45,3.45,0.65,0.4
190,1.45,1.55,0.3,3.5,0.7,0.25
200,1.8,1.75,0.5,3.45,0.65,0.15
210,1.4,1.5,0.35,3.45,0.5,0.2
220,1.3,1.55,0.7,3.4,0.35,0.3
230,1.2,1.85,0.45,3.5,0.45,0.1
240,1.1,1.7,0.4,3.5,0.2,0.2
250,1.15,1.75,0.3,3.5,0.25,0.1
260,1.2,1.9,0.35,3.5,0.15,0.05
270,1.2,2.35,0.3,3.5,0.25,0
280,0.95,2.4,0.35,3.5,0.2,0.05
290,0.85,2.5,0.35,3.5,0.25,0.05
300,0.75,2.6,0.35,3.55,0.3,0.15
310,0.8,2.5,0.25,3.6,0.1,0.15
320,1.15,2.25,0.25,3.65,0.25,0.1
330,1.3,2.15,0.2,3.6,0.15,0.1
340,0.85,2.35,0.25,3.55,0.15,0.05
350,1,2.25,0.3,3.55,0.15,0.1
360,0.75,2.1,0.3,3.5,0.05,0
370,0.8,2.35,0.25,3.5,0,0
380,0.4,2.65,0.35,3.45,0,0.1
390,0.35,2.6,0.2,3.45,0.1,0.05
400,0.65,2.45,0.15,3.4,0,0
410,0.75,2.4,0.15,3.35,0.05,0.1
420,0.75,2.5,0.2,3.35,0.05,0.05
430,0.7,2.15,0.05,3.35,0,0
440,0.5,2.15,0.05,3.3,0.15,0.1
450,0.45,2,0.1,3.35,0.1,0
460,0.65,2.05,0.15,3.35,0.15,0
470,0.7,2.15,0.15,3.3,0.05,0.05
480,0.55,2.1,0.15,3.25,0.1,0.05
490,0.8,2.1,0.15,3.25,0.25,0.05
500,0.65,2,0.25,3.15,0.05,0.1
510,0.5,2.15,0.15,3.2,0.1,0
520,0.75,1.75,0.1,3.25,0.2,0
530,0.7,1.6,0.15,3.25,0.2,0.05
540,0.9,1.65,0.15,3.25,0.1,0.05
550,0.9,1.6,0.15,3.25,0.05,0
560,0.75,1.55,0.15,3.15,0,0.05
570,0.85,1.75,0.1,3.15,0.1,0
580,0.7,1.65,0.1,3.15,0,0.05
590,0.4,1.6,0.05,3.15,0.2,0
600,0.45,1.8,0.15,3.1,0.15,0
610,0.5,1.5,0.1,3,0.3,0
620,0.45,1.35,0.05,3,0.2,0.1
630,0.55,1.55,0.05,2.95,0.2,0.05
640,0.7,1.25,0.2,3,0.2,0.05
650,0.8,1.25,0.05,3,0.1,0
660,0.7,1.45,0.1,3,0,0
670,0.45,1.45,0.1,3,0.1,0
680,0.4,1.25,0.05,2.95,0.1,0
690,0.4,1.2,0.05,2.9,0.1,0.05
700,0.35,1.35,0,2.85,0.2,0.05
710,0.5,1.15,0,2.7,0.15,0
720,0.6,1.15,0.1,2.65,0,0.05
730,0.65,1.55,0.05,2.65,0,0
740,0.45,1.1,0.05,2.65,0.25,0.05
750,0.5,1.1,0.1,2.5,0.3,0.05
760,0.45,0.7,0.05,2.5,0.45,0
770,0.5,0.1,0.1,2.4,0.35,0
780,0.45,0,0,2.4,0.2,0.1
790,0.3,0,0,2.4,0.15,0.05
800,0.45,0,0,2.4,0.15,0
810,0.45,0,0,2.3,0.15,0
820,0.2,0,0,2.3,0.05,0.05
830,0.15,0,0,2.3,0.05,0
840,0.2,0,0,2.25,0.05,0
850,0.15,0,0,2.2,0.05,0
860,0.05,0,0,2.2,0.05,0
870,0,0,0,2.2,0.05,0
880,0,0,0,2.2,0.05,0
890,0,0,0,2.2,0.05,0
900,0,0,0,2.2,0.05,0
910,0,0,0,2.15,0.05,0
920,0,0,0,2.15,0.05,0
930,0,0,0,2.1,0.05,0
940,0,0,0,2.1,0,0
950,0,0,0,2.1,0,0
960,0.05,0,0,2.1,0,0
970,0.05,0,0,2.1,0,0
980,0,0,0,2.1,0,0
990,0,0,0,2.1,0,0
1000,0,0,0,2.1,0,0
