Time,B,D,M,N,ND
0,10,0,2,0,0
20,9.6,1.4,2,1.2,0.6
40,2.8,4,2.2,9.2,2.2
60,0.8,5.6,2,7.4,3.2
80,0,8.2,2,6,3.8
100,0,10.2,2,4.2,1.6
120,0,8.4,2,3.2,1
140,0,8.6,1.8,2.4,0.4
160,0,8.2,1.6,2.2,0.2
180,0,7.6,1.4,2,0
200,0,7.2,1.4,1.4,0
220,0,7,1.4,1,0.4
240,0,7.2,1.4,0.4,0.2
260,0,7,1.4,0,0
280,0,6.4,1.4,0,0
300,0,6,1.4,0,0
320,0,5.8,1.4,0,0
340,0,5.4,1.4,0,0
360,0,5.2,1.4,0,0
380,0,5,1.4,0,0
400,0,4.8,1.4,0,0
420,0,4.8,1.4,0,0
440,0,4.8,1.4,0,0
460,0,4.8,1.4,0,0
480,0,4.8,1.4,0,0
500,0,4.8,1.4,0,0
520,0,4.6,1.4,0,0
540,0,4.4,1.4,0,0
560,0,4.2,1.4,0,0
580,0,4.2,1.4,0,0
600,0,4,1.2,0,0
620,0,4,1.2,0,0
640,0,3.8,1.2,0,0
660,0,3.8,1.2,0,0
680,0,3.8,1.2,0,0
700,0,3.8,1.2,0,0
720,0,3.8,1.2,0,0
740,0,3.8,1.2,0,0
760,0,3.8,1,0,0
780,0,3.6,1,0,0
800,0,3.6,0.8,0,0
820,0,3.6,0.8,0,0
840,0,3.6,0.8,0,0
860,0,3.6,0.8,0,0
880,0,3.6,0.8,0,0
900,0,3.6,0.8,0,0
920,0,3.6,0.8,0,0
940,0,3.6,0.8,0,0
960,0,3.6,0.8,0,0
980,0,3.6,0.8,0,0
1000,0,3.6,0.8,0,0
1020,0,3.6,0.8,0,0
1040,0,3.6,0.6,0,0
1060,0,3.6,0.4,0,0
1080,0,3.6,0.4,0,0
1100,0,3.6,0.4,0,0
1120,0,3.6,0.4,0,0
1140,0,3.6,0.4,0,0
1160,0,3.6,0.4,0,0
1180,0,3.6,0.4,0,0
1200,0,3.6,0.4,0,0
1220,0,3.6,0.4,0,0
1240,0,3.6,0.4,0,0
1260,0,3.6,0.4,0,0
1280,0,3.6,0.4,0,0
1300,0,3.6,0.4,0,0
1320,0,3.6,0.4,0,0
1340,0,3.6,0.4,0,0
1360,0,3.6,0.4,0,0
1380,0,3.6,0.4,0,0
1400,0,3.6,0.4,0,0
1420,0,3.6,0.4,0,0
1440,0,3.6,0.4,0,0
1460,0,3.6,0.4,0,0
1480,0,3.6,0.4,0,0
1500,0,3.6,0.4,0,0
1520,0,3.6,0.4,0,0
1540,0,3.6,0.4,0,0
1560,0,3.6,0.4,0,0
1580,0,3.6,0.4,0,0
1600,0,3.6,0.4,0,0
1620,0,3.6,0.4,0,0
1640,0,3.6,0.4,0,0
1660,0,3.6,0.4,0,0
1680,0,3.6,0.4,0,0
1700,0,3.6,0.4,0,0
1720,0,3.6,0.4,0,0
1740,0,3.6,0.4,0,0
1760,0,3.6,0.4,0,0
1780,0,3.6,0.4,0,0
1800,0,3.6,0.4,0,0
1820,0,3.6,0.4,0,0
1840,0,3.6,0.4,0,0
1860,0,3.6,0.2,0,0
1880,0,3.6,0.2,0,0
1900,0,3.6,0.2,0,0
1920,0,3.6,0.2,0,0
1940,0,3.6,0.2,0,0
1960,0,3.6,0.2,0,0
1980,0,3.6,0.2,0,0
2000,0,3.6,0.2,0,0
